participant_id	sex	handedness
sub-MTL0002	male	right
sub-MTL0005	female	right
sub-MTL0010	male	right
sub-MTL0015	male	right
sub-MTL0018	female	right
sub-MTL0020	male	left
sub-MTL0026	female	right
sub-MTL0032	male	right
sub-MTL0033	male	right
sub-MTL0037	male	right
sub-MTL0039	female	right
sub-MTL0040	male	right
sub-MTL0041	female	right
sub-MTL0047	male	right
sub-MTL0051	male	right
sub-MTL0054	female	right
sub-MTL0062	male	right
sub-MTL0079	male	right
sub-MTL0080	female	right
sub-MTL0082	female	right
sub-MTL0085	female	right
sub-MTL0086	female	right
sub-MTL0101	female	right
sub-MTL0108	female	right
sub-MTL0112	female	right
sub-MTL0125	male	right
sub-MTL0128	male	right
sub-MTL0139	female	right
sub-MTL0157	female	right
sub-MTL0159	female	right
sub-MTL0160	female	right
sub-MTL0165	male	ambidextrous
sub-MTL0166	female	right
sub-MTL0172	female	right
sub-MTL0173	female	ambidextrous
sub-MTL0174	male	right
sub-MTL0177	female	right
sub-MTL0179	female	right
sub-MTL0181	female	right
sub-MTL0184	female	right
sub-MTL0186	female	right
sub-MTL0187	female	left
sub-MTL0190	female	ambidextrous
sub-MTL0191	female	left
sub-MTL0194	female	right
sub-MTL0196	male	right
sub-MTL0198	female	right
sub-MTL0203	male	right
sub-MTL0212	female	right
sub-MTL0223	female	right
sub-MTL0224	female	right
sub-MTL0225	female	right
sub-MTL0228	female	right
sub-MTL0230	female	right
sub-MTL0235	female	right
sub-MTL0243	female	right
sub-MTL0249	female	right
sub-MTL0252	female	right
sub-MTL0254	female	right
sub-MTL0263	male	right
sub-MTL0264	female	right
sub-MTL0268	male	right
sub-MTL0271	male	right
sub-MTL0276	female	right
sub-MTL0278	male	right
sub-MTL0279	female	right
sub-MTL0282	female	right
sub-MTL0284	female	right
sub-MTL0287	female	right
sub-MTL0292	female	right
sub-MTL0297	male	right
sub-MTL0304	female	right
sub-MTL0308	female	right
sub-MTL0311	male	right
sub-MTL0317	female	right
sub-MTL0319	female	right
sub-MTL0333	female	right
sub-MTL0336	female	right
sub-MTL0343	female	right
sub-MTL0347	female	right
sub-MTL0348	male	right
sub-MTL0349	female	right
sub-MTL0350	female	right
sub-MTL0353	female	right
sub-MTL0354	female	ambidextrous
sub-MTL0360	female	right
sub-MTL0363	female	right
sub-MTL0365	female	ambidextrous
sub-MTL0366	male	right
sub-MTL0371	female	left
sub-MTL0374	male	right
sub-MTL0375	male	ambidextrous
sub-MTL0376	female	right
sub-MTL0377	female	right
sub-MTL0380	male	right
sub-MTL0381	male	right
sub-MTL0384	female	right
sub-MTL0387	female	right
sub-MTL0390	female	right
sub-MTL0391	female	right
sub-MTL0392	female	right
sub-MTL0393	female	right
sub-MTL0394	female	right
sub-MTL0395	female	right
sub-MTL0403	female	left
sub-MTL0404	female	right
sub-MTL0409	male	left
sub-MTL0414	male	right
sub-MTL0425	female	right
sub-MTL0427	male	right
sub-MTL0431	female	right
sub-MTL0432	female	left
sub-MTL0442	female	right
sub-MTL0448	female	right
sub-MTL0453	female	right
sub-MTL0457	female	right
sub-MTL0458	male	right
sub-MTL0461	female	right
sub-MTL0462	female	right
sub-MTL0469	male	right
sub-MTL0473	female	right
sub-MTL0476	female	right
sub-MTL0488	female	right
sub-MTL0492	female	ambidextrous
sub-MTL0494	female	right
sub-MTL0501	female	right
sub-MTL0504	female	right
sub-MTL0505	female	right
sub-MTL0509	female	right
sub-MTL0510	female	left
sub-MTL0520	female	right
sub-MTL0521	female	ambidextrous
sub-MTL0527	male	left
sub-MTL0528	female	right
sub-MTL0529	female	right
sub-MTL0531	male	right
sub-MTL0534	male	right
sub-MTL0537	female	right
sub-MTL0538	female	right
sub-MTL0541	male	right
sub-MTL0544	female	right
sub-MTL0546	male	right
sub-MTL0550	female	right
sub-MTL0552	female	ambidextrous
sub-MTL0555	male	right
sub-MTL0569	female	right
sub-MTL0572	female	right
sub-MTL0574	female	right
sub-MTL0580	female	right
sub-MTL0587	female	right
sub-MTL0588	male	right
sub-MTL0589	male	ambidextrous
sub-MTL0595	male	right
sub-MTL0598	female	right
sub-MTL0599	male	right
sub-MTL0602	female	right
sub-MTL0603	female	right
sub-MTL0606	male	left
sub-MTL0607	male	right
sub-MTL0608	female	right
sub-MTL0609	male	right
sub-MTL0622	male	right
sub-MTL0631	female	right
sub-MTL0632	male	right
sub-MTL0633	female	right
sub-MTL0634	female	right
sub-MTL0648	female	right
sub-MTL0649	female	right
sub-MTL0653	female	right
sub-MTL0663	female	right
sub-MTL0665	female	right
sub-MTL0668	female	right
sub-MTL0669	female	right
sub-MTL0672	female	right
sub-MTL0674	female	right
sub-MTL0681	female	right
sub-MTL0688	male	right
sub-MTL0694	female	right
sub-MTL0696	female	right
sub-MTL0703	female	right
sub-MTL0706	female	right
sub-MTL0709	male	right
